"Problem","Package","File","Line","Priority","Description","Rule set","Rule"
"687","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","181","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"688","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","200","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"689","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","203","Avoid variables with short names like e","Naming Rules","ShortVariable"
"690","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","203","Avoid variables with short names like e","Naming Rules","ShortVariable"
"691","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","2","205","System.out.print is used","Java Logging Rules","SystemPrintln"
"692","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","2","205","System.out.print is used","Java Logging Rules","SystemPrintln"
"693","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","2","206","System.out.print is used","Java Logging Rules","SystemPrintln"
"694","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","2","206","System.out.print is used","Java Logging Rules","SystemPrintln"
"695","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","2","207","System.out.print is used","Java Logging Rules","SystemPrintln"
"696","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","225","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"697","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","227","Avoid variables with short names like a","Naming Rules","ShortVariable"
"698","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","227","Avoid variables with short names like a","Naming Rules","ShortVariable"
"699","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","227","Parameter 'a' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"700","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","229","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"701","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","231","Avoid variables with short names like j","Naming Rules","ShortVariable"
"702","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","239","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"703","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","253","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"704","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","265","Avoid excessively long variable names like singleOccurenceOfDeciPoint","Naming Rules","LongVariable"
"705","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","271","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"706","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","272","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"707","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","287","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"708","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","300","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"709","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","314","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"710","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","324","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"711","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","337","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"712","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","344","Avoid unused local variables such as 'userEnteredDate'","Unused Code Rules","UnusedLocalVariable"
"713","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","344","Avoid unused local variables such as 'userEnteredDate'","Unused Code Rules","UnusedLocalVariable"
"714","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","362","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"715","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","362","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"716","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","366","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"717","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","368","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"718","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","370","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"719","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bFormattedTextField.java","3","375","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"720","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","29","Avoid excessively long variable names like m_clickedHyperlinkColor","Naming Rules","LongVariable"
"721","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","30","Avoid excessively long variable names like m_unclickedHyperlinkColor","Naming Rules","LongVariable"
"722","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","31","Avoid excessively long variable names like m_isHyperlinkUnderlined","Naming Rules","LongVariable"
"723","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","31","Possible unsafe assignment to a non-final static field in a constructor.","Design Rules","AssignmentToNonFinalStatic"
"724","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","31","Possible unsafe assignment to a non-final static field in a constructor.","Design Rules","AssignmentToNonFinalStatic"
"725","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","1","31","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix). variable {1} should begin with {2}","Naming Rules","VariableNamingConventions"
"726","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","1","31","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix). variable {1} should begin with {2}","Naming Rules","VariableNamingConventions"
"727","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","38","Avoid excessively long variable names like isHyperlinkUnderlined","Naming Rules","LongVariable"
"728","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","54","Avoid excessively long variable names like isHyperlinkUnderlined","Naming Rules","LongVariable"
"729","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","67","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"730","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","82","Parameter 'userObject' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"731","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","87","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"732","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlink.java","3","89","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"733","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","19","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"734","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","19","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"735","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Avoid variables with short names like b","Naming Rules","ShortVariable"
"736","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Avoid variables with short names like b","Naming Rules","ShortVariable"
"737","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Avoid variables with short names like g","Naming Rules","ShortVariable"
"738","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Avoid variables with short names like g","Naming Rules","ShortVariable"
"739","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Parameter 'b' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"740","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Parameter 'g' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"741","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Parameter 'text' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"742","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","24","Parameter 'textRect' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"743","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","33","Avoid unused method parameters such as 'b'","Unused Code Rules","UnusedFormalParameter"
"744","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","33","Avoid unused method parameters such as 'b'","Unused Code Rules","UnusedFormalParameter"
"745","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","33","Avoid unused method parameters such as 'text'","Unused Code Rules","UnusedFormalParameter"
"746","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","33","Avoid unused method parameters such as 'text'","Unused Code Rules","UnusedFormalParameter"
"747","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","33","Avoid variables with short names like b","Naming Rules","ShortVariable"
"748","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","33","Parameter 'b' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"749","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","35","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"750","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bHyperlinkUI.java","3","36","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"751","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bLabel.java","4","4","Avoid unused imports such as 'java.awt.Dimension'","Import Statement Rules","UnusedImports"
"752","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bLabel.java","4","4","Avoid unused imports such as 'java.awt.Dimension'","Import Statement Rules","UnusedImports"
"753","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bLabel.java","3","13","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"754","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bLabel.java","3","25","Avoid unused constructor parameters such as 'alignment'","Unused Code Rules","UnusedFormalParameter"
"755","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bLabel.java","3","25","Avoid unused constructor parameters such as 'alignment'","Unused Code Rules","UnusedFormalParameter"
"756","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"757","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","16","Private field 'm_list' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"758","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","1","32","Overridable method 'setComponentSize' called during object construction","Design Rules","ConstructorCallsOverridableMethod"
"759","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","42","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"760","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","43","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"761","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","73","Parameter 'values' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"762","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","75","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"763","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","79","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"764","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","92","Parameter 'values' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"765","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","94","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"766","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","95","The String literal 'String' appears 4 times in this file; the first occurrence is on line 95","String and StringBuffer Rules","AvoidDuplicateLiterals"
"767","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bListBox.java","3","95","The String literal 'String' appears 4 times in this file; the first occurrence is on line 95","String and StringBuffer Rules","AvoidDuplicateLiterals"
"768","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","19","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"769","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","26","Avoid variables with short names like lm","Naming Rules","ShortVariable"
"770","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","26","Avoid variables with short names like lm","Naming Rules","ShortVariable"
"771","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","31","Avoid variables with short names like lm","Naming Rules","ShortVariable"
"772","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","31","Avoid variables with short names like lm","Naming Rules","ShortVariable"
"773","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","36","Avoid variables with short names like lm","Naming Rules","ShortVariable"
"774","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","43","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"775","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","45","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"776","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","48","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"777","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","52","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"778","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","56","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"779","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","60","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"780","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bPanel.java","3","70","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"781","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bRadioButton.java","4","4","Avoid unused imports such as 'java.awt.Dimension'","Import Statement Rules","UnusedImports"
"782","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bRadioButton.java","4","4","Avoid unused imports such as 'java.awt.Dimension'","Import Statement Rules","UnusedImports"
"783","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bRadioButton.java","3","12","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"784","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","6","An Interface should be used only to model a behaviour; consider converting this to a class.","Design Rules","AvoidConstantsInterface"
"785","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","9","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"786","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","9","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"787","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","9","The String literal 'arial' appears 4 times in this file; the first occurrence is on line 9","String and StringBuffer Rules","AvoidDuplicateLiterals"
"788","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","9","The String literal 'arial' appears 4 times in this file; the first occurrence is on line 9","String and StringBuffer Rules","AvoidDuplicateLiterals"
"789","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","11","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"790","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","11","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"791","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bStandardFonts.java","3","13","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"792","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","16","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"793","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"794","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"795","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"796","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","39","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"797","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","45","Avoid variables with short names like c","Naming Rules","ShortVariable"
"798","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","45","Avoid variables with short names like c","Naming Rules","ShortVariable"
"799","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","45","Parameter 'c' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"800","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","67","Parameter 'pane' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"801","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","72","Parameter 'tabPlacement' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"802","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","77","Parameter 'fontHeight' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"803","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","77","Parameter 'tabIndex' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"804","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","101","Avoid variables with short names like g","Naming Rules","ShortVariable"
"805","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","101","Avoid variables with short names like g","Naming Rules","ShortVariable"
"806","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","101","Avoid variables with short names like h","Naming Rules","ShortVariable"
"807","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","103","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"808","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","166","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"809","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","166","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"810","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","176","Document empty method","Design Rules","UncommentedEmptyMethod"
"811","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","181","Document empty method","Design Rules","UncommentedEmptyMethod"
"812","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","186","Document empty method","Design Rules","UncommentedEmptyMethod"
"813","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","199","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"814","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","226","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"815","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTabbedPaneUI.java","3","229","Local variable could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"816","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTable.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"817","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTable.java","3","16","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"818","edu.wustl.cab2b.client.ui.controls","source/client/main/edu/wustl/cab2b/client/ui/controls/Cab2bTable.java","1","16","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix). variable {1} should begin with {2}","Naming Rules","VariableNamingConventions"
